Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS,,,,,,,,,,,,,,
764,5209038750,cheny30,336,142,G Hideki Matsuyama G Tom Kim G Mac Meissner G Alex Noren G Ben Kohles G Bud Cauley,,,,,,,,,,,,,,,,,,,
764,5209069721,GoBillsGo47,336,142,G Ryan Gerard G Michael Brennan G Davis Thompson G Brian Harman G Ben Kohles G Jackson Suber,,,,,,,,,,,,,,,,,,,
764,5209518155,Horvie78,336,142,G Cameron Young G Tom Kim G Aaron Rai G Jordan L. Smith G Emiliano Grillo G Andrew Putnam,,,,,,,,,,,,,,,,,,,
764,5209699948,keginkc,334,142,G Tom Kim G Keegan Bradley G Alex Fitzpatrick G Blades Brown G Ben Kohles G Bud Cauley,,,,,,,,,,,,,,,,,,,
764,5207221768,bdschultheis,331,142,G Justin Thomas G Tom Kim G Keegan Bradley G Alex Fitzpatrick G Alex Smalley G Brian Campbell,,,,,,,,,,,,,,,,,,,
764,5209555061,fbutler2225,331,142,G Cameron Young G Justin Thomas G Ben Kohles G Alex Smalley G Jackson Suber G Billy Horschel,,,,,,,,,,,,,,,,,,,
764,5208075484,DJP55,330,142,G Hideki Matsuyama G Aaron Rai G Alex Fitzpatrick G Harris English G Christiaan Bezuidenhout G Denny McCarthy,,,,,,,,,,,,,,,,,,,
779,5208630015,Jaybmxer,347,141.5,G Tom Kim G Ben Griffin G Keegan Bradley G Brian Harman G Doug Ghim G Lucas Glover,,,,,,,,,,,,,,,,,,,
779,5209685366,ques23,341,141.5,G Ben Griffin G Alex Fitzpatrick G Michael Brennan G Davis Thompson G Blades Brown G Kris Ventura,,,,,,,,,,,,,,,,,,,
779,5209231719,makerland,340,141.5,G Cameron Young G Hideki Matsuyama G Alex Noren G Doug Ghim G J.T. Poston G Matthew McCarty,,,,,,,,,,,,,,,,,,,
779,5209672219,makingains23,338,141.5,G Ryan Gerard G Tom Kim G Aaron Rai G Alex Fitzpatrick G Eric Cole G Davis Chatfield,,,,,,,,,,,,,,,,,,,
779,5208464867,SoonerTrojan,337,141.5,G Justin Thomas G Ben Griffin G Aaron Rai G Davis Thompson G Jordan Spieth G Davis Chatfield,,,,,,,,,,,,,,,,,,,
779,5208926422,IAMMURPH,336,141.5,G Cameron Young G Justin Thomas G Keith Mitchell G Ben Kohles G Emiliano Grillo G Ricky Castillo,,,,,,,,,,,,,,,,,,,
779,5208285683,jetsfan8183,334,141.5,G Cameron Young G Aaron Rai G Brian Harman G Doug Ghim G Jordan L. Smith G Marco Penge,,,,,,,,,,,,,,,,,,,
779,5208502858,mscroggs300,334,141.5,G Tom Kim G Aaron Rai G Davis Thompson G Mac Meissner G Blades Brown G Ben Kohles,,,,,,,,,,,,,,,,,,,
779,5209079427,craps2fun,334,141.5,G Tom Kim G Aaron Rai G Davis Thompson G Mac Meissner G Blades Brown G Ben Kohles,,,,,,,,,,,,,,,,,,,
779,5209836039,sexualchocolate,334,141.5,G Tom Kim G Aaron Rai G Davis Thompson G Mac Meissner G Blades Brown G Ben Kohles,,,,,,,,,,,,,,,,,,,
779,5209116838,HonusBonus,333,141.5,G Hideki Matsuyama G Michael Brennan G Davis Thompson G Mac Meissner G Rasmus Højgaard G J.T. Poston,,,,,,,,,,,,,,,,,,,
779,5207490194,whosyurdaddy,330,141.5,G Hideki Matsuyama G Justin Thomas G Maverick McNealy G Ben Kohles G Jackson Suber G Zac Blair,,,,,,,,,,,,,,,,,,,
779,5207752293,danofman,330,141.5,G Justin Thomas G Ryan Gerard G Tom Kim G Sungjae Im G J.T. Poston G Matthew McCarty,,,,,,,,,,,,,,,,,,,
779,5209596153,FearTheSpears,330,141.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Ben Kohles G Jackson Suber G Zac Blair,,,,,,,,,,,,,,,,,,,
779,5209400241,hart132,329,141.5,G Cameron Young G Tom Kim G Michael Brennan G Ben Kohles G Michael Kim G Kris Ventura,,,,,,,,,,,,,,,,,,,
794,5208896159,petelewis65,352,141,G Jackson Koivun G Ben Griffin G Sungjae Im G Alex Smalley G Ryo Hisatsune G Beau Hossler,,,,,,,,,,,,,,,,,,,
794,5208924625,bstreich9,349,141,G Ryan Gerard G Aaron Rai G Davis Thompson G Blades Brown G Ben Kohles G Benjamin James,,,,,,,,,,,,,,,,,,,
794,5209364333,jimmytail,348,141,G Hideki Matsuyama G Ben Griffin G Michael Brennan G Mac Meissner G Sahith Theegala G Nick Taylor,,,,,,,,,,,,,,,,,,,
794,5209718303,TheSSmith8,346,141,G Hideki Matsuyama G Tom Kim G Davis Thompson G Blades Brown G Ben Kohles G Lucas Glover,,,,,,,,,,,,,,,,,,,
794,5208734879,PthWillet,344,141,G Tom Kim G Ben Griffin G Alex Fitzpatrick G Jordan Spieth G Alex Smalley G Bud Cauley,,,,,,,,,,,,,,,,,,,
794,5209798924,andersad31,344,141,G Tom Kim G Ben Griffin G Davis Thompson G Ben Kohles G Michael Kim G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
794,5209823993,Himjones21,344,141,G Hideki Matsuyama G Tom Kim G Aaron Rai G Jordan Spieth G Eric Cole G Billy Horschel,,,,,,,,,,,,,,,,,,,
794,5208197985,tarbwms,342,141,G Cameron Young G Ryan Gerard G Doug Ghim G Sungjae Im G Bud Cauley G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
794,5209356089,jsalcedo5,342,141,G Cameron Young G Hideki Matsuyama G Rasmus Højgaard G J.T. Poston G Bud Cauley G Benjamin James,,,,,,,,,,,,,,,,,,,
794,5207247146,malo313,340,141,G Cameron Young G Hideki Matsuyama G Sungjae Im G Alex Smalley G Rasmus Højgaard G Denny McCarthy,,,,,,,,,,,,,,,,,,,
794,5208446156,RunTheBasesMLB,340,141,G Hideki Matsuyama G Ryan Gerard G Keegan Bradley G Doug Ghim G J.T. Poston G John Parry,,,,,,,,,,,,,,,,,,,
794,5207653983,bnast32,336,141,G Cameron Young G Hideki Matsuyama G Davis Thompson G Brian Harman G Kris Ventura G Davis Chatfield,,,,,,,,,,,,,,,,,,,
794,5209865645,yesiwin2,336,141,G Hideki Matsuyama G Ryan Gerard G Davis Thompson G Sungjae Im G Ben Kohles G J.T. Poston,,,,,,,,,,,,,,,,,,,
794,5207559377,mkspring6,334,141,G Tom Kim G Aaron Rai G Davis Thompson G Mac Meissner G Blades Brown G Sungjae Im,,,,,,,,,,,,,,,,,,,
794,5207621802,bestone109,334,141,G Tom Kim G Aaron Rai G Davis Thompson G Mac Meissner G Blades Brown G Sungjae Im,,,,,,,,,,,,,,,,,,,
794,5209235294,tyreich,334,141,G Tom Kim G Aaron Rai G Davis Thompson G Mac Meissner G Blades Brown G Sungjae Im,,,,,,,,,,,,,,,,,,,
794,5209710574,SaintShady03,334,141,G Aaron Rai G Alex Fitzpatrick G Brooks Koepka G Davis Thompson G Blades Brown G Ben Kohles,,,,,,,,,,,,,,,,,,,
794,5209567062,thejamokes,331,141,G Cameron Young G Ben Griffin G Mac Meissner G Sungjae Im G Bud Cauley G Billy Horschel,,,,,,,,,,,,,,,,,,,
794,5209472654,shsanders12,330,141,G Justin Thomas G Ryan Gerard G Keegan Bradley G Christiaan Bezuidenhout G Bud Cauley G Billy Horschel,,,,,,,,,,,,,,,,,,,
794,5207740869,killey48,324,141,G Cameron Young G Justin Thomas G Tom Kim G Ricky Castillo G Sam Stevens G John Parry,,,,,,,,,,,,,,,,,,,
814,5209632052,ZoneSelectCoachQ,354,140.5,G Jackson Koivun G Tom Kim G Davis Thompson G Blades Brown G Benjamin James G Nicolas Echavarria,,,,,,,,,,,,,,,,,,,
814,5209772661,Dboone7,351,140.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Alex Smalley G Benjamin James G Nick Taylor,,,,,,,,,,,,,,,,,,,
814,5209707997,rdk5042,347,140.5,G Hideki Matsuyama G Justin Thomas G Brian Harman G Sungjae Im G Chris Kirk G Sahith Theegala,,,,,,,,,,,,,,,,,,,
814,5209551038,OrangeBall11,346,140.5,G Hideki Matsuyama G Tom Kim G Alex Fitzpatrick G Ben Kohles G Ryo Hisatsune G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
814,5208899880,tomapj12,345,140.5,G Cameron Young G Tom Kim G Mac Meissner G Alex Smalley G Ryo Hisatsune G Sahith Theegala,,,,,,,,,,,,,,,,,,,
814,5207205943,rruffin83,343,140.5,G Cameron Young G Maverick McNealy G Alex Fitzpatrick G Michael Kim G Ryo Hisatsune G Sahith Theegala,,,,,,,,,,,,,,,,,,,
814,5207983029,Fishzx77,342,140.5,G Hideki Matsuyama G Tom Kim G Maverick McNealy G Alex Smalley G Chris Kirk G Billy Horschel,,,,,,,,,,,,,,,,,,,
814,5208041253,Neil_FantasyAssembly,341,140.5,G Cameron Young G Hideki Matsuyama G Justin Thomas G Sahith Theegala G Stephan Jaeger G Gordon Sargent,,,,,,,,,,,,,,,,,,,
814,5209598768,from_Fresno,341,140.5,G Hideki Matsuyama G Justin Thomas G Alex Fitzpatrick G Keith Mitchell G Alex Smalley G Thorbjørn Olesen,,,,,,,,,,,,,,,,,,,
814,5208668383,MMAHAWK,340,140.5,G Cameron Young G Hideki Matsuyama G Blades Brown G Ben Kohles G Bud Cauley G Denny McCarthy,,,,,,,,,,,,,,,,,,,
814,5209789578,shadyhskr,340,140.5,G Hideki Matsuyama G Michael Brennan G Davis Thompson G Blades Brown G Ben Kohles G Christiaan Bezuidenhout,,,,,,,,,,,,,,,,,,,
814,5207617520,LuvMachine614,338,140.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Ben Kohles G Emiliano Grillo G Zac Blair,,,,,,,,,,,,,,,,,,,
814,5208038458,fandk,338,140.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Ben Kohles G Emiliano Grillo G Zac Blair,,,,,,,,,,,,,,,,,,,
814,5208233643,undercover30,338,140.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Ben Kohles G Christiaan Bezuidenhout G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
814,5209378520,thirlbyM14,338,140.5,G Cameron Young G Ben Griffin G Mac Meissner G Alex Smalley G Denny McCarthy G Matthew McCarty,,,,,,,,,,,,,,,,,,,
814,5209694634,5spot5,338,140.5,G Cameron Young G Aaron Rai G Alex Fitzpatrick G Ben Kohles G Benjamin James G Nicolas Echavarria,,,,,,,,,,,,,,,,,,,
814,5207588315,mta1680,336,140.5,G Hideki Matsuyama G Keegan Bradley G Brooks Koepka G Harris English G Christiaan Bezuidenhout G Sahith Theegala,,,,,,,,,,,,,,,,,,,
814,5209211714,LushyLeanPocket,335,140.5,G Hideki Matsuyama G Tom Kim G Davis Thompson G Mac Meissner G J.T. Poston G Chris Kirk,,,,,,,,,,,,,,,,,,,
814,5207427084,chelseafann96,329,140.5,G Cameron Young G Alex Fitzpatrick G Davis Thompson G Mac Meissner G Chris Kirk G Kris Ventura,,,,,,,,,,,,,,,,,,,
814,5208526999,pwnii,324,140.5,G Maverick McNealy G Aaron Rai G Alex Fitzpatrick G Mac Meissner G Sungjae Im G Ben Kohles,,,,,,,,,,,,,,,,,,,
834,5209572398,USaki2meISaki2U,350,140,G Jackson Koivun G Davis Thompson G Brian Harman G Doug Ghim G Blades Brown G Ben Kohles,,,,,,,,,,,,,,,,,,,
834,5208570738,redsky06,349,140,G Jackson Koivun G Alex Fitzpatrick G Michael Brennan G Blades Brown G Bud Cauley G Benjamin James,,,,,,,,,,,,,,,,,,,
834,5207451292,turmson,348,140,G Cameron Young G Hideki Matsuyama G Keith Mitchell G Christiaan Bezuidenhout G Ryo Hisatsune G Sahith Theegala,,,,,,,,,,,,,,,,,,,
834,5208981029,LSE87,348,140,G Ryan Gerard G Tom Kim G Davis Thompson G Blades Brown G Sungjae Im G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
834,5209001643,shambles,345,140,G Hideki Matsuyama G Tom Kim G Ben Griffin G Ben Kohles G Emiliano Grillo G Zac Blair,,,,,,,,,,,,,,,,,,,
834,5209627570,lrkn63,345,140,G Hideki Matsuyama G Justin Thomas G Davis Thompson G Blades Brown G Bud Cauley G Michael Kim,,,,,,,,,,,,,,,,,,,
834,5208028983,drizztser,344,140,G Hideki Matsuyama G Justin Thomas G Tom Kim G Bud Cauley G Michael Kim G Johnny Keefer,,,,,,,,,,,,,,,,,,,
834,5209234873,RyanCox421,344,140,G Cameron Young G Jackson Koivun G Jordan L. Smith G Ryo Hisatsune G Sahith Theegala G Ricky Castillo,,,,,,,,,,,,,,,,,,,
834,5209563478,Cookins,341,140,G Hideki Matsuyama G Ryan Gerard G Aaron Rai G Davis Thompson G Billy Horschel G Stephan Jaeger,,,,,,,,,,,,,,,,,,,
834,5209437845,SatchmoW1ns,338,140,G Tom Kim G Ben Griffin G Aaron Rai G Sungjae Im G Alex Smalley G Bud Cauley,,,,,,,,,,,,,,,,,,,
834,5209698634,lawdog4,338,140,G Hideki Matsuyama G Keegan Bradley G Michael Brennan G Davis Thompson G Ryo Hisatsune G Jackson Suber,,,,,,,,,,,,,,,,,,,
834,5208250651,tebucky34,336,140,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
834,5209434440,rlpoker,336,140,G Justin Thomas G Tom Kim G Aaron Rai G Keith Mitchell G J.T. Poston G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
834,5209707769,mapleleafs1112,336,140,G Hideki Matsuyama G Justin Thomas G Jordan Spieth G Ben Kohles G Bud Cauley G Ricky Castillo,,,,,,,,,,,,,,,,,,,
834,5207577543,TTermeer,335,140,G Cameron Young G Hideki Matsuyama G Davis Thompson G Michael Kim G Marco Penge G Kevin Yu,,,,,,,,,,,,,,,,,,,
834,5208192235,rigo1515,335,140,G Hideki Matsuyama G Aaron Rai G Davis Thompson G Mac Meissner G Sungjae Im G Michael Kim,,,,,,,,,,,,,,,,,,,
834,5209709990,adogg288,334,140,G Hideki Matsuyama G Maverick McNealy G Brooks Koepka G Keith Mitchell G J.T. Poston G Bud Cauley,,,,,,,,,,,,,,,,,,,
834,5208921437,Bgoebert,332,140,G Cameron Young G Aaron Rai G Davis Thompson G Sungjae Im G Bud Cauley G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
834,5208654157,bdysert12,331,140,G Keegan Bradley G Alex Fitzpatrick G Michael Brennan G Brooks Koepka G Ben Kohles G Alex Smalley,,,,,,,,,,,,,,,,,,,
834,5209667014,CrabCruncher,331,140,G Tom Kim G Maverick McNealy G Alex Fitzpatrick G Harris English G Alex Smalley G Jackson Suber,,,,,,,,,,,,,,,,,,,
834,5207318750,Narganutts,330,140,G Cameron Young G Hideki Matsuyama G Davis Thompson G J.T. Poston G Jackson Suber G Kris Ventura,,,,,,,,,,,,,,,,,,,
834,5209254147,post25,324,140,G Tom Kim G Maverick McNealy G Aaron Rai G Mac Meissner G Ben Kohles G Zac Blair,,,,,,,,,,,,,,,,,,,
856,5209130120,mikeredd,352,139.5,G Hideki Matsuyama G Ryan Gerard G Tom Kim G Ben Kohles G Emiliano Grillo G Lee Hodges,,,,,,,,,,,,,,,,,,,
856,5207218479,tshonts3,350,139.5,G Jackson Koivun G Davis Thompson G Brian Harman G Doug Ghim G Blades Brown G Sungjae Im,,,,,,,,,,,,,,,,,,,
856,5207323059,jd92493,348,139.5,G Hideki Matsuyama G Ryan Gerard G Davis Thompson G Keith Mitchell G J.T. Poston G Eric Cole,,,,,,,,,,,,,,,,,,,
856,5209811494,Pressure84,347,139.5,G Cameron Young G Ryan Gerard G Sungjae Im G Benjamin James G Eric Cole G Jackson Suber,,,,,,,,,,,,,,,,,,,
856,5209767768,kthibs22,345,139.5,G Ben Griffin G Aaron Rai G Alex Fitzpatrick G Doug Ghim G Blades Brown G Sungjae Im,,,,,,,,,,,,,,,,,,,
856,5207378168,Eastpuck2,344,139.5,G Cameron Young G Ben Griffin G Michael Brennan G Michael Kim G Emiliano Grillo G Denny McCarthy,,,,,,,,,,,,,,,,,,,
856,5207201870,sboynton10,343,139.5,G Cameron Young G Ben Griffin G Doug Ghim G Sungjae Im G Ben Kohles G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
856,5209865571,itlldofarm,343,139.5,G Cameron Young G Ben Griffin G Doug Ghim G Sungjae Im G Ben Kohles G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
856,5209028848,joeezzy,342,139.5,G Justin Thomas G Tom Kim G Davis Thompson G Blades Brown G Ben Kohles G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
856,5209297121,Andramidus_theGreat,342,139.5,G Cameron Young G Tom Kim G Blades Brown G Ben Kohles G Jordan L. Smith G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
856,5209670111,alexpokerguy,342,139.5,G Ryan Gerard G Tom Kim G Davis Thompson G Brian Harman G Ben Kohles G Lucas Glover,,,,,,,,,,,,,,,,,,,
856,5208765993,MoeJontana16,340,139.5,G Jackson Koivun G Hideki Matsuyama G Tom Kim G Davis Thompson G Chandler Phillips G Camilo Villegas,,,,,,,,,,,,,,,,,,,
856,5209542592,gkthomps,340,139.5,G Jackson Koivun G Tom Kim G Davis Thompson G Blades Brown G Christiaan Bezuidenhout G Matthew McCarty,,,,,,,,,,,,,,,,,,,
856,5207303941,coachnewt1,338,139.5,G Hideki Matsuyama G Justin Thomas G Davis Thompson G Mac Meissner G Ryo Hisatsune G Ricky Castillo,,,,,,,,,,,,,,,,,,,
856,5207618925,BlackDog54,338,139.5,G Jackson Koivun G Harris English G Mac Meissner G Keith Mitchell G Doug Ghim G Sungjae Im,,,,,,,,,,,,,,,,,,,
856,5209142283,mikeso1o,338,139.5,G Justin Thomas G Ryan Gerard G Davis Thompson G Sungjae Im G Ben Kohles G Ryo Hisatsune,,,,,,,,,,,,,,,,,,,
856,5209837163,wiesie11,337,139.5,G Justin Thomas G Maverick McNealy G Alex Fitzpatrick G Alex Noren G Alex Smalley G Bud Cauley,,,,,,,,,,,,,,,,,,,
856,5207976245,tprice828,336,139.5,G Cameron Young G Justin Thomas G Alex Fitzpatrick G Matt Wallace G Emiliano Grillo G Tom Hoge,,,,,,,,,,,,,,,,,,,
856,5208861890,Haasedog,335,139.5,G Ryan Gerard G Tom Kim G Michael Brennan G Sungjae Im G Ben Kohles G Michael Kim,,,,,,,,,,,,,,,,,,,
856,5209398499,theking6108,335,139.5,G Hideki Matsuyama G Aaron Rai G Davis Thompson G J.T. Poston G Michael Kim G Rico Hoey,,,,,,,,,,,,,,,,,,,
856,5209562513,steadybeats,334,139.5,G Keegan Bradley G Michael Brennan G Brooks Koepka G Davis Thompson G Blades Brown G Ben Kohles,,,,,,,,,,,,,,,,,,,
856,5207324835,smokysongs,333,139.5,G Hideki Matsuyama G Maverick McNealy G Alex Fitzpatrick G Sungjae Im G Rasmus Højgaard G Christiaan Bezuidenhout,,,,,,,,,,,,,,,,,,,
856,5209095254,beardown58,331,139.5,G Cameron Young G Ben Griffin G Sungjae Im G Jordan L. Smith G J.T. Poston G Bud Cauley,,,,,,,,,,,,,,,,,,,
856,5208177433,billycrane15,330,139.5,G Hideki Matsuyama G Justin Thomas G Keegan Bradley G Sungjae Im G Bud Cauley G Luke Clanton,,,,,,,,,,,,,,,,,,,
856,5208482521,dutchboy1970,329,139.5,G Tom Kim G Aaron Rai G Brooks Koepka G Davis Thompson G J.T. Poston G Chris Kirk,,,,,,,,,,,,,,,,,,,
856,5209638794,FoundryGriz,329,139.5,G Cameron Young G Justin Thomas G Alex Fitzpatrick G Sungjae Im G Michael Kim G Davis Chatfield,,,,,,,,,,,,,,,,,,,
856,5209305495,DaddyBucks,324,139.5,G Tom Kim G Maverick McNealy G Aaron Rai G Mac Meissner G Sungjae Im G Zac Blair,,,,,,,,,,,,,,,,,,,
883,5208546550,sfleck334,355,139,G Jackson Koivun G Hideki Matsuyama G Brian Harman G Keith Mitchell G Benjamin James G Matthew McCarty,,,,,,,,,,,,,,,,,,,
883,5207689391,OMR2012,352,139,G Hideki Matsuyama G Tom Kim G Davis Thompson G Brian Harman G Ryo Hisatsune G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
883,5209618516,jollydogaj,350,139,G Justin Thomas G Ben Griffin G Brian Harman G Keith Mitchell G Doug Ghim G Chris Kirk,,,,,,,,,,,,,,,,,,,
883,5209829431,bccreq01,349,139,G Jackson Koivun G Hideki Matsuyama G Tom Kim G Benjamin James G Zac Blair G Chandler Phillips,,,,,,,,,,,,,,,,,,,
883,5207551225,theloopers,344,139,G Justin Thomas G Tom Kim G Maverick McNealy G Alex Smalley G Eric Cole G Michael Kim,,,,,,,,,,,,,,,,,,,
883,5207576506,bowman2543,344,139,G Jackson Koivun G Hideki Matsuyama G Mac Meissner G Jordan L. Smith G Bud Cauley G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
883,5209244870,STPauiligrl,344,139,G Cameron Young G Jackson Koivun G Rasmus Højgaard G Michael Kim G Sahith Theegala G Billy Horschel,,,,,,,,,,,,,,,,,,,
883,5207225723,TOP50,343,139,G Ben Griffin G Keegan Bradley G Alex Fitzpatrick G Davis Thompson G Alex Smalley G Michael Kim,,,,,,,,,,,,,,,,,,,
883,5208784506,baconator2.0,342,139,G Cameron Young G Ben Griffin G Doug Ghim G Sungjae Im G Alex Smalley G Rasmus Neergaard-Petersen,,,,,,,,,,,,,,,,,,,
883,5207709838,mereno,341,139,G Hideki Matsuyama G Ryan Gerard G Michael Brennan G Ben Kohles G Jordan L. Smith G Michael Kim,,,,,,,,,,,,,,,,,,,
883,5207589837,bpshoot63,340,139,G Tom Kim G Ben Griffin G Aaron Rai G Mac Meissner G J.T. Poston G Benjamin James,,,,,,,,,,,,,,,,,,,
883,5208984083,TheClash1,340,139,G Cameron Young G Tom Kim G Davis Thompson G Alex Noren G Chris Kirk G Brandt Snedeker,,,,,,,,,,,,,,,,,,,
883,5208375744,bish69,338,139,G Tom Kim G Aaron Rai G Alex Fitzpatrick G Brian Harman G Sungjae Im G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
883,5207484771,geigersc12,336,139,G Cameron Young G Jackson Koivun G Christiaan Bezuidenhout G Bud Cauley G Sahith Theegala G Rasmus Neergaard-Petersen,,,,,,,,,,,,,,,,,,,
883,5207422901,janavz,334,139,G Alex Fitzpatrick G Davis Thompson G Harris English G Chris Kirk G Bud Cauley G Michael Kim,,,,,,,,,,,,,,,,,,,
883,5209700736,rufusjonz,334,139,G Cameron Young G Aaron Rai G Alex Noren G Doug Ghim G Ben Kohles G Zac Blair,,,,,,,,,,,,,,,,,,,
883,5209059186,TRROCK,331,139,G Ben Griffin G Aaron Rai G Alex Fitzpatrick G Davis Thompson G Christiaan Bezuidenhout G J.T. Poston,,,,,,,,,,,,,,,,,,,
883,5207955203,swarwick33,330,139,G Cameron Young G Jackson Koivun G Davis Thompson G J.T. Poston G Bud Cauley G Davis Chatfield,,,,,,,,,,,,,,,,,,,
883,5207996910,cdchaves,330,139,G Cameron Young G Hideki Matsuyama G Tom Kim G Ricky Castillo G Matthew McCarty G Sam Stevens,,,,,,,,,,,,,,,,,,,
883,5208596660,SantaCruzBuddha,330,139,G Ryan Gerard G Tom Kim G Keegan Bradley G Michael Brennan G Bud Cauley G Brian Campbell,,,,,,,,,,,,,,,,,,,
883,5209293327,bhess88,330,139,G Cameron Young G Aaron Rai G Davis Thompson G Brian Harman G Sungjae Im G Davis Chatfield,,,,,,,,,,,,,,,,,,,
883,5209578125,burnzinata,330,139,G Jackson Koivun G Tom Kim G Michael Brennan G Ben Kohles G Jackson Suber G Zac Blair,,,,,,,,,,,,,,,,,,,
883,5209109697,ats_boi,329,139,G Justin Thomas G Tom Kim G Maverick McNealy G J.T. Poston G Chris Kirk G Bud Cauley,,,,,,,,,,,,,,,,,,,
883,5209624996,docbill33,324,139,G Cameron Young G Keegan Bradley G Brooks Koepka G Sungjae Im G Billy Horschel G Austin Eckroat,,,,,,,,,,,,,,,,,,,
907,5209856089,chris2448,355,138.5,G Hideki Matsuyama G Davis Thompson G Brian Harman G Blades Brown G Benjamin James G Zac Blair,,,,,,,,,,,,,,,,,,,
907,5209710951,hinckleyjim,345,138.5,G Ryan Gerard G Ben Griffin G Davis Thompson G Mac Meissner G Sungjae Im G Lee Hodges,,,,,,,,,,,,,,,,,,,
907,5208311046,Billywhiteshoes,342,138.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Ben Kohles G Alex Smalley G Brandt Snedeker,,,,,,,,,,,,,,,,,,,
907,5208743273,jbonacci,341,138.5,G Hideki Matsuyama G Aaron Rai G Brooks Koepka G Davis Thompson G Brian Harman G Brandt Snedeker,,,,,,,,,,,,,,,,,,,
907,5209437438,jtrent98,341,138.5,G Jackson Koivun G Hideki Matsuyama G Alex Fitzpatrick G Jordan L. Smith G Nicolas Echavarria G Matthew McCarty,,,,,,,,,,,,,,,,,,,
907,5209617669,bbwinz23,340,138.5,G Cameron Young G Harris English G Brian Harman G Keith Mitchell G Sungjae Im G Sahith Theegala,,,,,,,,,,,,,,,,,,,
907,5207199278,JBruce4444,338,138.5,G Hideki Matsuyama G Tom Kim G Alex Fitzpatrick G Ben Kohles G Ryo Hisatsune G Zac Blair,,,,,,,,,,,,,,,,,,,
907,5208808710,akleff9,338,138.5,G Cameron Young G Davis Thompson G Brian Harman G Ben Kohles G Emiliano Grillo G Zac Blair,,,,,,,,,,,,,,,,,,,
907,5209480945,INWA,334,138.5,G Justin Thomas G Ryan Gerard G Alex Fitzpatrick G Davis Thompson G J.T. Poston G Chandler Phillips,,,,,,,,,,,,,,,,,,,
907,5208059949,derekjn11,331,138.5,G Cameron Young G Tom Kim G Aaron Rai G Alex Smalley G Jordan L. Smith G Aaron Wise,,,,,,,,,,,,,,,,,,,
907,5209136927,Hammer331,331,138.5,G Justin Thomas G Aaron Rai G Alex Fitzpatrick G Keith Mitchell G Rasmus Højgaard G Christiaan Bezuidenhout,,,,,,,,,,,,,,,,,,,
907,5208260000,zleik101,330,138.5,G Cameron Young G Justin Thomas G Brian Harman G Christiaan Bezuidenhout G Bud Cauley G Billy Horschel,,,,,,,,,,,,,,,,,,,
907,5208885313,TheSkovietUnion,330,138.5,G Cameron Young G Aaron Rai G Brian Harman G Ben Kohles G Jordan L. Smith G Bud Cauley,,,,,,,,,,,,,,,,,,,
920,5208519057,thepete3,356,138,G Jackson Koivun G Ryan Gerard G Ben Griffin G Chris Kirk G Lee Hodges G Beau Hossler,,,,,,,,,,,,,,,,,,,
920,5208506800,jjheeb23,349,138,G Justin Thomas G Ryan Gerard G Tom Kim G Chris Kirk G Benjamin James G Michael Kim,,,,,,,,,,,,,,,,,,,
920,5209458232,powderhoundz,349,138,G Ryan Gerard G Alex Fitzpatrick G Michael Brennan G Blades Brown G Ben Kohles G Benjamin James,,,,,,,,,,,,,,,,,,,
920,5208403753,rkeepers,345,138,G Justin Thomas G Ben Griffin G Mac Meissner G Doug Ghim G Blades Brown G Ben Kohles,,,,,,,,,,,,,,,,,,,
920,5208512338,domt9,345,138,G Justin Thomas G Ryan Gerard G Alex Fitzpatrick G Alex Smalley G Bud Cauley G Emiliano Grillo,,,,,,,,,,,,,,,,,,,
920,5209201562,reily3904,345,138,G Hideki Matsuyama G Ryan Gerard G Tom Kim G Keith Mitchell G Michael Kim G John Parry,,,,,,,,,,,,,,,,,,,
920,5207471549,johesy,344,138,G Hideki Matsuyama G Ryan Gerard G Tom Kim G Ben Kohles G Emiliano Grillo G Kris Ventura,,,,,,,,,,,,,,,,,,,
920,5209741641,timmerlee,344,138,G Hideki Matsuyama G Ben Griffin G Maverick McNealy G Keith Mitchell G Rasmus Højgaard G Matthew McCarty,,,,,,,,,,,,,,,,,,,
