PLAYER,EARLY/LATE,TEE TIME,BET TYPE,BETMGM,DRAFTKINGS,FANDUEL, BET365,POINTSBET,BETFAIR,BETONLINE,WILLIAMHILL,BETWAY,BOVADA,CIRCA,PINNACLE,SKYBET,UNIBET,RANK AV,AVERAGE,PERCENT LST 20,MODEL,RANK,% ODDS AVERAGE,925 - VEGAS,BET TAG,Best Odds Number,Best Odds Sportsbook,Best Odds,Percent Difference From Average,Bet Difference Per Bet,Bet Difference Week,Best Odds Percent Difference From Average,Difference From Average Odds,Course,925 Odds,Pre Tournament Odds,Edge,,,Headshot
Chris Gotterup,Late,2026-08-16 11:25,OUTRIGHT,400,600,500,600,0,0,0,400,500,500,0,0,475,0,106,496.9,0.15,25,25,0.0020,-81,Possible Outright,600, BET365, BET365 (600/1),0.8281666667,58,186,-0.0003,0.001663893511,TPC Southwind,0.00,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59095.png"
Wyndham Clark,Late,2026-08-16 11:25,OUTRIGHT,500,675,500,600,0,0,0,500,500,750,0,0,475,0,107,562.5,0.1,21,21,0.0018,-86,Possible Outright,750,BOVADA,BOVADA (750/1),0.75,51,184,-0.0004,0.001331557923,TPC Southwind,0.01,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51766.png"
Adam Scott,Late,2026-08-16 11:40,OUTRIGHT,750,1100,1000,1000,0,0,0,1000,750,750,0,0,1250,0,109,950.0,,34,34,0.0011,0,Long Shot Outright Only,1250,SKYBET,SKYBET (1250/1),0.76,52,190,-0.0003,0.0007993605116,TPC Southwind,0.00,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_24502.png"
Patrick Cantlay,Late,2026-08-16 11:15,OUTRIGHT,500,600,500,600,0,0,0,500,500,600,0,0,700,0,107,562.5,,14,14,0.0018,-93,OUTRIGHT,700,SKYBET,SKYBET (700/1),0.8035714286,56,185,-0.0003,0.001426533524,TPC Southwind,0.01,0.02,0.01,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35450.png"
Matt Fitzpatrick,Late,2026-08-16 11:05,OUTRIGHT,0,1500,1000,2000,0,0,0,1000,750,1500,0,0,1250,0,112,1285.7,0.15,9,9,0.0008,-103,OUTRIGHT,2000, BET365, BET365 (2000/1),0.64285,36,188,-0.0003,0.0004997501249,TPC Southwind,0.02,0.03,0.02,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_40098.png"
Nico Echavarria,Late,2026-08-16 11:15,OUTRIGHT,1000,1450,1000,1500,0,0,0,750,750,750,0,0,1250,0,110,1056.3,,,53,0.0009,0,,1500, BET365, BET365 (1500/1),0.7042,50,187,-0.0003,0.0006662225183,TPC Southwind,0.00,0.00,0.00,,,
J.T. Poston,Late,2026-08-16 11:40,OUTRIGHT,750,1450,1000,1500,0,0,0,1000,1000,1500,0,0,1250,0,111,1181.3,0.05,54,54,0.0008,0,,1500, BET365, BET365 (1500/1),0.7875333333,54,194,-0.0002,0.0006662225183,TPC Southwind,0.00,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49771.png"
Ludvig Aberg,Late,2026-08-16 10:05,OUTRIGHT,0,4000,1000,5000,0,0,0,1000,0,2500,0,0,1250,0,115,2458.3,,10,10,0.0004,-105,OUTRIGHT,5000, BET365, BET365 (5000/1),0.49166,1,191,-0.0002,0.000199960008,TPC Southwind,0.01,0.03,0.01,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52955.png"
Jackson Koivun,Late,2026-08-16 10:45,OUTRIGHT,0,5000,1000,5000,0,0,0,1500,3000,5000,0,0,1250,0,146,3107.1,0.05,8,8,0.0003,-138,,5000, BET365, BET365 (5000/1),0.62142,32,226,-0.0001,0.000199960008,TPC Southwind,0.02,0.03,0.02,,,https://www.freeiconspng.com/uploads/--tie-user-users-work-worker-working-icon--icon-search-engine-6.png
Jordan Spieth,Late,2026-08-16 10:55,OUTRIGHT,0,3000,1000,2500,0,0,0,1000,0,1500,0,0,1250,0,114,1708.3,,46,46,0.0006,0,,2500, BET365, BET365 (2500/1),0.68332,37,192,-0.0002,0.000399840064,TPC Southwind,0.00,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34046.png"
