PLAYER,EARLY/LATE,TEE TIME,BET TYPE,BETMGM,DRAFTKINGS,FANDUEL, BET365,POINTSBET,BETFAIR,BETONLINE,WILLIAMHILL,BETWAY,BOVADA,CIRCA,PINNACLE,SKYBET,UNIBET,RANK AV,AVERAGE,PERCENT LST 20,MODEL,RANK,% ODDS AVERAGE,925 - VEGAS,BET TAG,Best Odds Number,Best Odds Sportsbook,Best Odds,Percent Difference From Average,Bet Difference Per Bet,Bet Difference Week,Best Odds Percent Difference From Average,Difference From Average Odds,Course,925 Odds,Pre Tournament Odds,Edge,,,Headshot
Keith Mitchell,Late,2026-08-16 10:05,TOP 5,0,72,80,75,50,0,0,80,0,50,0,0,110,0,121,73.86,0.1,41,37,0.0134,0,Good Bet,110,SKYBET,SKYBET (110/1),0.6714545455,36,82,-0.0043,0.009009009009,TPC Southwind,0.03,,0.02,0.02399696952,0.005755093201,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39546.png"
Pierceson Coody,Late,2026-08-16 10:15,TOP 5,0,130,150,150,100,0,0,100,0,100,0,0,250,0,125,140,,66,61,0.0071,0,,250,SKYBET,SKYBET (250/1),0.56,6,91,-0.0031,0.003984063745,TPC Southwind,0.01,,0.00,,0.0004333880947,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59836.png"
Maverick McNealy,Late,2026-08-16 10:25,TOP 5,0,62,70,60,45,0,0,40,0,40,0,0,80,0,120,56.71,,23,51,0.0173,0,,80,SKYBET,SKYBET (80/1),0.708875,39,78,-0.0050,0.01234567901,TPC Southwind,0.02,,0.00,,0.037045771,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46442.png"
J.J. Spaun,Late,2026-08-16 10:45,TOP 5,0,59,60,55,40,0,0,40,0,40,0,0,75,0,118,52.71,0.1,26,32,0.0186,0,Good Bet,75,SKYBET,SKYBET (75/1),0.7028,38,71,-0.0055,0.01315789474,TPC Southwind,0.04,,0.03,0.03645370572,0.02716174025,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39324.png"
Ryan Gerard,Early,2026-08-16 09:50,TOP 5,0,175,150,150,100,0,0,0,0,125,0,0,0,0,125,140,0.05,33,45,0.0071,0,Good Bet,150, BET365, BET365 (150/1),0.9333333333,63,183,-0.0005,0.006622516556,TPC Southwind,0.02,,0.01,0.01728062134,0.01316644363,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59018.png"
Jacob Bridgeman,Late,2026-08-16 10:35,TOP 5,0,80,0,100,50,0,0,40,0,60,0,0,150,0,122,80,0.15,20,24,0.0123,-98,Good Bet,150,SKYBET,SKYBET (150/1),0.5333333333,3,70,-0.0057,0.006622516556,TPC Southwind,0.06,,0.05,0.05437850359,0.05052655451,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60004.png"
Patrick Rodgers,Late,2026-08-16 10:15,TOP 5,0,195,150,175,100,0,0,150,0,125,0,0,0,0,127,149.17,,68,62,0.0067,0,,175, BET365, BET365 (175/1),0.8524,55,177,-0.0010,0.005681818182,TPC Southwind,0.01,,0.00,,0.0003523894893,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36699.png"
Gary Woodland,Late,2026-08-16 10:25,TOP 5,0,90,0,100,66,0,0,66,0,70,0,0,150,0,123,90.33,0.05,45,47,0.0109,0,Good Bet,150,SKYBET,SKYBET (150/1),0.6022,28,83,-0.0043,0.006622516556,TPC Southwind,0.02,,0.01,0.01388555618,0.003804909221,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31323.png"
Alex Smalley,Early,2026-08-16 09:30,TOP 5,0,195,150,150,100,0,0,0,0,125,0,0,250,0,128,161.67,0.15,43,30,0.0061,0,Good Bet,250,SKYBET,SKYBET (250/1),0.64668,34,104,-0.0022,0.003984063745,TPC Southwind,0.05,,0.04,0.0293888823,0.00467948792,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46340.png"
Corey Conners,Early,2026-08-16 08:15,TOP 5,0,0,150,400,80,0,0,0,0,500,0,0,275,0,148,281,,40,65,0.0035,0,,500,BOVADA,BOVADA (500/1),0.562,7,140,-0.0016,0.001996007984,TPC Southwind,0.00,,0.00,,0.006382331775,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39997.png"
Ryo Hisatsune,Early,2026-08-16 09:00,TOP 5,0,500,150,400,100,0,0,0,0,500,0,0,275,0,159,320.83,,59,67,0.0031,0,,500,BOVADA,BOVADA (500/1),0.64166,30,172,-0.0011,0.001996007984,TPC Southwind,0.00,,0.00,,0.0008940588048,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51287.png"
Bud Cauley,Early,2026-08-16 09:40,TOP 5,0,240,150,175,100,0,0,0,0,150,0,0,275,0,129,181.67,0.05,52,52,0.0055,0,Good Bet,275,SKYBET,SKYBET (275/1),0.6606181818,35,130,-0.0019,0.003623188406,TPC Southwind,0.02,,0.01,0.01108031772,0.001844400334,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34021.png"
Russell Henley,Early,2026-08-16 09:50,TOP 5,0,145,125,125,90,0,0,0,0,90,0,0,200,0,124,129.17,0.15,16,22,0.0077,-102,Good Bet,200,SKYBET,SKYBET (200/1),0.64585,33,94,-0.0027,0.004975124378,TPC Southwind,0.07,,0.06,0.06577257621,0.07642364466,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34098.png"
Max Homa,Early,2026-08-16 09:30,TOP 5,0,490,150,400,90,0,0,0,0,500,0,0,275,0,158,317.5,0.05,56,57,0.0031,0,Good Bet,500,BOVADA,BOVADA (500/1),0.635,29,171,-0.0011,0.001996007984,TPC Southwind,0.02,,0.01,0.009989607128,0.001219402639,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39977.png"
Aaron Rai,Early,2026-08-16 09:20,TOP 5,0,490,150,350,80,0,0,0,0,300,0,0,275,0,147,274.17,0.1,42,40,0.0036,0,Good Bet,350, BET365, BET365 (350/1),0.7833428571,46,180,-0.0008,0.002849002849,TPC Southwind,0.03,,0.03,0.02047278801,0.005189497963,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46414.png"
Harry Hall,Early,2026-08-16 09:40,TOP 5,0,250,150,200,100,0,0,0,0,200,0,0,275,0,130,195.83,0.05,57,54,0.0051,0,Good Bet,275,SKYBET,SKYBET (275/1),0.7121090909,40,150,-0.0015,0.003623188406,TPC Southwind,0.02,,0.01,0.01057662361,0.001099562994,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57975.png"
Collin Morikawa,Early,2026-08-16 08:40,TOP 5,0,0,150,400,80,0,0,0,0,500,0,0,275,0,148,281,0.2,12,18,0.0035,-130,Good Bet,500,BOVADA,BOVADA (500/1),0.562,7,140,-0.0016,0.001996007984,TPC Southwind,0.10,,0.09,0.09231243492,0.115594137,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_50525.png"
Matti Schmid,Early,2026-08-16 09:10,TOP 5,0,500,150,400,100,0,0,0,0,500,0,0,275,0,159,320.83,0.05,67,60,0.0031,0,Good Bet,500,BOVADA,BOVADA (500/1),0.64166,30,172,-0.0011,0.001996007984,TPC Southwind,0.02,,0.01,0.009564474775,0.0003907958666,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48867.png"
Sudarshan Yellamaraju,Early,2026-08-16 08:30,TOP 5,0,0,150,400,90,0,0,0,0,500,0,0,0,0,153,285,0.05,61,58,0.0035,0,Good Bet,500,BOVADA,BOVADA (500/1),0.57,13,145,-0.0015,0.001996007984,TPC Southwind,0.02,,0.01,0.009862315787,0.0007269625757,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_60386.png"
Sam Stevens,Early,2026-08-16 09:00,TOP 5,0,0,150,400,100,0,0,0,0,500,0,0,275,0,153,285,0.05,64,59,0.0035,0,Good Bet,500,BOVADA,BOVADA (500/1),0.57,13,145,-0.0015,0.001996007984,TPC Southwind,0.02,,0.01,0.00976533683,0.000533004662,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55893.png"
Cameron Young,Early,2026-08-16 08:50,TOP 5,0,490,150,400,100,0,0,0,0,225,0,0,0,0,146,273,0.3,5,9,0.0036,-137,Good Bet,400, BET365, BET365 (400/1),0.6825,37,169,-0.0012,0.002493765586,TPC Southwind,0.16,,0.16,0.1704491188,0.2384651476,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57366.png"
Nicolai Hojgaard,Early,2026-08-16 08:40,TOP 5,0,0,150,400,90,0,0,0,0,500,0,0,275,0,150,283,0.15,47,33,0.0035,0,Good Bet,500,BOVADA,BOVADA (500/1),0.566,10,142,-0.0015,0.001996007984,TPC Southwind,0.04,,0.04,0.02772060192,0.003093785994,https://www.freeiconspng.com/uploads/--tie-user-users-work-worker-working-icon--icon-search-engine-6.png
Michael Kim,Early,2026-08-16 08:30,TOP 5,0,0,150,400,100,0,0,0,0,500,0,0,275,0,153,285,0.05,55,56,0.0035,0,Good Bet,500,BOVADA,BOVADA (500/1),0.57,13,145,-0.0015,0.001996007984,TPC Southwind,0.02,,0.01,0.01017498621,0.001352303419,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39975.png"
Michael Brennan,Early,2026-08-16 09:10,TOP 5,0,500,150,400,100,0,0,0,0,500,0,0,275,0,159,320.83,0.05,37,48,0.0031,0,Good Bet,500,BOVADA,BOVADA (500/1),0.64166,30,172,-0.0011,0.001996007984,TPC Southwind,0.02,,0.01,0.01372149313,0.008704832578,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58611.png"
Justin Thomas,Early,2026-08-16 09:20,TOP 5,0,340,150,225,100,0,0,0,0,175,0,0,275,0,131,210.83,0.05,19,38,0.0047,0,Good Bet,275,SKYBET,SKYBET (275/1),0.7666545455,44,175,-0.0011,0.003623188406,TPC Southwind,0.03,,0.03,0.0379236044,0.05603336437,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33448.png"
Ben Griffin,Early,2026-08-16 08:05,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,275,0,139,231.25,0.1,35,39,0.0043,0,Good Bet,400, BET365, BET365 (400/1),0.578125,21,131,-0.0018,0.002493765586,TPC Southwind,0.03,,0.03,0.0234547441,0.01070568482,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54591.png"
Michael Thorbjornsen,Early,2026-08-16 08:15,TOP 5,0,0,150,400,90,0,0,0,0,500,0,0,275,0,150,283,0.1,27,35,0.0035,0,Good Bet,500,BOVADA,BOVADA (500/1),0.566,10,142,-0.0015,0.001996007984,TPC Southwind,0.04,,0.03,0.03008655395,0.02449235673,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57364.png"
Sahith Theegala,Early,2026-08-16 06:55,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,275,0,139,231.25,,51,63,0.0043,0,,400, BET365, BET365 (400/1),0.578125,21,131,-0.0018,0.002493765586,TPC Southwind,0.00,,0.00,,0.002045418631,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51634.png"
Aldrich Potgieter,Early,2026-08-16 07:35,TOP 5,0,0,150,400,90,0,0,0,0,0,0,0,0,0,132,213.33,0.05,65,55,0.0047,0,Good Bet,400, BET365, BET365 (400/1),0.533325,1,100,-0.0022,0.002493765586,TPC Southwind,0.02,,0.01,0.01012887867,0.0004806223829,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_63343.png"
Min Woo Lee,Early,2026-08-16 07:55,TOP 5,0,0,150,400,90,0,0,0,0,500,0,0,275,0,150,283,0.2,28,23,0.0035,-127,Good Bet,500,BOVADA,BOVADA (500/1),0.566,10,142,-0.0015,0.001996007984,TPC Southwind,0.06,,0.06,0.04554969881,0.02208531312,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37378.png"
Shane Lowry,Early,2026-08-16 07:55,TOP 5,0,0,150,400,90,0,0,0,0,500,0,0,0,0,153,285,0.05,38,50,0.0035,0,Good Bet,500,BOVADA,BOVADA (500/1),0.57,13,145,-0.0015,0.001996007984,TPC Southwind,0.02,,0.01,0.0134235069,0.007849344808,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33204.png"
Sepp Straka,Early,2026-08-16 08:05,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,0,0,134,216.67,0.1,60,42,0.0046,0,Good Bet,400, BET365, BET365 (400/1),0.541675,5,105,-0.0021,0.002493765586,TPC Southwind,0.03,,0.03,0.01860113333,0.0008061930858,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49960.png"
Ricky Castillo,Early,2026-08-16 07:45,TOP 5,0,0,150,400,80,0,0,0,0,0,0,0,275,0,135,226.25,0.15,62,34,0.0044,0,Good Bet,400, BET365, BET365 (400/1),0.565625,9,125,-0.0019,0.002493765586,TPC Southwind,0.04,,0.04,0.02679457266,0.0006555186292,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59440.png"
Ryan Fox,Early,2026-08-16 06:55,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,275,0,139,231.25,0.05,39,49,0.0043,0,Good Bet,400, BET365, BET365 (400/1),0.578125,21,131,-0.0018,0.002493765586,TPC Southwind,0.02,,0.01,0.0133075344,0.007077932098,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29936.png"
Eric Cole,Early,2026-08-16 07:45,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,275,0,139,231.25,0.05,31,46,0.0043,0,Good Bet,400, BET365, BET365 (400/1),0.578125,21,131,-0.0018,0.002493765586,TPC Southwind,0.02,,0.02,0.01786497885,0.01619282099,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47591.png"
Matt McCarty,Early,2026-08-16 07:25,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,275,0,139,231.25,,63,63,0.0043,0,,400, BET365, BET365 (400/1),0.578125,21,131,-0.0018,0.002493765586,TPC Southwind,0.00,,0.00,,0.0005910960036,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_59141.png"
Alex Fitzpatrick,Early,2026-08-16 07:25,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,275,0,139,231.25,0.1,50,41,0.0043,0,Good Bet,400, BET365, BET365 (400/1),0.578125,21,131,-0.0018,0.002493765586,TPC Southwind,0.03,,0.03,0.01923607449,0.002268345597,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55721.png"
Rory McIlroy,Early,2026-08-16 07:15,TOP 5,0,0,150,400,90,0,0,0,0,0,0,0,0,0,132,213.33,0.2,13,20,0.0047,-112,Good Bet,400, BET365, BET365 (400/1),0.533325,1,100,-0.0022,0.002493765586,TPC Southwind,0.09,,0.09,0.08700549395,0.1042338529,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_28237.png"
Kristoffer Reitan,Early,2026-08-16 07:15,TOP 5,0,0,150,400,90,0,0,0,0,0,0,0,275,0,136,228.75,0.15,48,31,0.0044,0,Good Bet,400, BET365, BET365 (400/1),0.571875,18,127,-0.0019,0.002493765586,TPC Southwind,0.04,,0.04,0.02784572085,0.002789736943,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49855.png"
Justin Rose,Early,2026-08-16 07:05,TOP 5,0,0,150,400,100,0,0,0,0,0,0,0,275,0,139,231.25,0.15,36,29,0.0043,-110,Good Bet,400, BET365, BET365 (400/1),0.578125,21,131,-0.0018,0.002493765586,TPC Southwind,0.05,,0.04,0.03126201433,0.009653558618,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_22405.png"
Akshay Bhatia,Early,2026-08-16 07:05,TOP 5,0,0,150,400,90,0,0,0,0,0,0,0,275,0,136,228.75,0.15,30,28,0.0044,-108,Good Bet,400, BET365, BET365 (400/1),0.571875,18,127,-0.0019,0.002493765586,TPC Southwind,0.05,,0.04,0.03542967794,0.01795765114,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_56630.png"
Harris English,Early,2026-08-16 07:35,TOP 5,0,0,150,400,90,0,0,0,0,0,0,0,275,0,136,228.75,0.05,49,53,0.0044,0,Good Bet,400, BET365, BET365 (400/1),0.571875,18,127,-0.0019,0.002493765586,TPC Southwind,0.02,,0.01,0.01104197022,0.002515569024,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34099.png"
Jordan Smith,Early,2026-08-16 08:50,TOP 5,0,0,150,400,90,0,0,0,0,500,0,0,0,0,153,285,,,66,0.0035,0,Good Bet,500,BOVADA,BOVADA (500/1),0.57,13,145,-0.0015,0.001996007984,TPC Southwind,0.00,,0.00,0.003496503497,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
 ,,,TOP 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,0,,0, BET365, BET365 (0/1),,,424,1.0000,1,TPC Southwind,,,0.00,,,
