TOURNAMENT SCORECARD SUMMARY,,,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 9/1/2026, 2:28:39 AM",,,,,,,,,,,
⚠ No scorecard data retrieved. Most players are probably not in this event's field.,,,,,,,,,,,
Player,Round,Score,To Par,Birdies,Eagles,Bogeys,Doubles+,Front 9,Back 9,Pars,Thru
Tommy Fleetwood,1,66,-4,2,1,0,0,32,34,15,F
Tommy Fleetwood,2,70,E,4,0,4,0,36,34,10,F
Tommy Fleetwood,3,67,-3,4,0,1,0,32,35,13,F
Tommy Fleetwood,4,67,-3,5,0,2,0,34,33,11,F
Justin Rose,1,68,-2,3,0,1,0,35,33,14,F
Justin Rose,2,65,-5,5,0,0,0,33,32,13,F
Justin Rose,3,69,-1,5,0,4,0,33,36,9,F
Justin Rose,4,71,+1,2,1,5,0,35,36,10,F
Hideki Matsuyama,1,69,-1,3,0,2,0,34,35,13,F
Hideki Matsuyama,2,70,E,3,0,3,0,35,35,12,F
Hideki Matsuyama,3,67,-3,6,0,3,0,32,35,9,F
Hideki Matsuyama,4,69,-1,3,0,2,0,34,35,13,F
Patrick Cantlay,1,68,-2,4,0,2,0,33,35,12,F
Patrick Cantlay,2,70,E,3,0,3,0,35,35,12,F
Patrick Cantlay,3,68,-2,3,0,1,0,33,35,14,F
Patrick Cantlay,4,69,-1,4,0,3,0,35,34,11,F
Si Woo Kim,1,69,-1,3,0,2,0,33,36,13,F
Si Woo Kim,2,68,-2,2,0,0,0,35,33,16,F
Si Woo Kim,3,65,-5,6,0,1,0,32,33,11,F
Si Woo Kim,4,69,-1,4,1,3,1,35,34,9,F
Matt Fitzpatrick,1,66,-4,5,0,1,0,33,33,12,F
Matt Fitzpatrick,2,67,-3,4,0,1,0,35,32,13,F
Matt Fitzpatrick,3,69,-1,3,0,2,0,35,34,13,F
Matt Fitzpatrick,4,73,+3,2,0,5,0,36,37,11,F
Scottie Scheffler,1,65,-5,5,0,0,0,33,32,13,F
Scottie Scheffler,2,67,-3,6,0,3,0,34,33,9,F
Scottie Scheffler,3,66,-4,4,0,0,0,33,33,14,F
Scottie Scheffler,4,66,-4,6,0,2,0,33,33,10,F
Alex Smalley,1,67,-3,4,0,1,0,33,34,13,F
Alex Smalley,2,68,-2,5,0,3,0,33,35,10,F
Alex Smalley,3,72,+2,1,0,3,0,36,36,14,F
Alex Smalley,4,72,+2,3,0,5,0,35,37,10,F
Sam Burns,1,66,-4,4,0,0,0,33,33,14,F
Sam Burns,2,68,-2,4,0,2,0,32,36,12,F
Sam Burns,3,67,-3,3,0,0,0,34,33,15,F
Sam Burns,4,72,+2,3,0,3,1,34,38,11,F
