Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
2209,5195844790,BKuehl13,324,142.5,G Kurt Kitayama G Hideki Matsuyama G Jackson Suber G Michael Kim G Mackenzie Hughes G Jesper Svensson,,,,,
2209,5195858133,AugustaGolf,324,142.5,G Kurt Kitayama G Jackson Koivun G Jackson Suber G Ricky Castillo G Casey Jarvis G Preston Stout,,,,,
2209,5195866748,melheim,324,142.5,G Tom Kim G Jackson Suber G Gary Woodland G Corey Conners G Aldrich Potgieter G Tom Hoge,,,,,
2209,5196156595,A1GAMER1,324,142.5,G Kurt Kitayama G Max Homa G Sam Stevens G Jordan L. Smith G Emiliano Grillo G Mackenzie Hughes,,,,,
2209,5196414256,Totight,324,142.5,G Scottie Scheffler G Rasmus Højgaard G Denny McCarthy G Patrick Rodgers G Zac Blair G Joel Dahmen,,,,,
2209,5196419081,Durrrrrrrrrr,324,142.5,G Hideki Matsuyama G Keith Mitchell G Jackson Koivun G Brian Harman G Casey Jarvis G Tom Hoge,,,,,
2209,5196744679,hollando35,324,142.5,G Pierceson Coody G Jackson Suber G Corey Conners G Max Homa G Emiliano Grillo G Lee Hodges,,,,,
2209,5196760794,tingler25,324,142.5,G Hideki Matsuyama G Pierceson Coody G Sungjae Im G Michael Brennan G Rasmus Neergaard-Petersen G Zachary Bauchou,,,,,
2209,5196776813,Lumberjac,324,142.5,G Kurt Kitayama G Tom Kim G Max Homa G Michael Brennan G William Mouw G Zac Blair,,,,,
2209,5196852457,Vandyman74,324,142.5,G Jackson Koivun G Jackson Suber G Max Homa G Jordan L. Smith G Rasmus Neergaard-Petersen G Brandt Snedeker,,,,,
2209,5196878238,shawnp84,324,142.5,G Kurt Kitayama G Jackson Suber G Corey Conners G Max Homa G Emiliano Grillo G Aaron Wise,,,,,
2209,5196887120,codyreich1,324,142.5,G Kurt Kitayama G Hideki Matsuyama G Doug Ghim G Ricky Castillo G Jesper Svensson G Zac Blair,,,,,
2225,5194748345,garvingann,324,142,G Jackson Suber G Corey Conners G Max Homa G Sungjae Im G Steven Fisk G Ben Kohles,,,,,
2225,5194764099,scomil,324,142,G Hideki Matsuyama G Tom Kim G Corey Conners G Rasmus Neergaard-Petersen G Aldrich Potgieter G Jesper Svensson,,,,,
2225,5194790915,samspade1005,324,142,G Scottie Scheffler G Brian Harman G Andrew Putnam G Zac Blair G Austin Eckroat G Tom Hoge,,,,,
2225,5194965990,MarioRagio,324,142,G Scottie Scheffler G Johnny Keefer G Max Greyserman G Tom Hoge G Mark Hubbard G Troy Merritt,,,,,
2225,5195091564,Mrtigerfur,324,142,G Kurt Kitayama G Keith Mitchell G Jackson Suber G Benjamin James G Lucas Glover G Aaron Wise,,,,,
2225,5195459459,Pokey323,324,142,G Keith Mitchell G Jake Knapp G Jackson Koivun G Benjamin James G Mackenzie Hughes G Hayden Springer,,,,,
2225,5195500996,bhooder,324,142,G Tom Kim G Jackson Koivun G Max Homa G Benjamin James G Sudarshan Yellamaraju G Zac Blair,,,,,
2225,5195565911,spooly,324,142,G Scottie Scheffler G Tom Kim G Joel Dahmen G Cameron Champ G Adam Hadwin G Troy Merritt,,,,,
2225,5195847180,bissell90,324,142,G Hideki Matsuyama G Tom Kim G Sungjae Im G Christiaan Bezuidenhout G Taylor Moore G Emiliano Grillo,,,,,
2225,5195853779,TatumRose,324,142,G Maverick McNealy G Keith Mitchell G Sungjae Im G Mac Meissner G Ben Kohles G David Lipsky,,,,,
2225,5195858641,Morgantime,324,142,G Tom Kim G Doug Ghim G Gary Woodland G Corey Conners G Ricky Castillo G Tom Hoge,,,,,
2225,5195866515,dashiznit187,324,142,G Keith Mitchell G Pierceson Coody G Sungjae Im G Michael Brennan G Rasmus Neergaard-Petersen G Stephan Jaeger,,,,,
2225,5195877229,EggmansFinest,324,142,G Keith Mitchell G Doug Ghim G Jackson Suber G Johnny Keefer G Taylor Pendrith G Emiliano Grillo,,,,,
2225,5196021293,Jackson205,324,142,G Kurt Kitayama G Jackson Koivun G Corey Conners G Benjamin James G Casey Jarvis G Davis Chatfield,,,,,
