Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
31,5196195314,BelizeRabbit (8/10),324,250.5,G Scottie Scheffler G Taylor Moore G Emiliano Grillo G Ben Kohles G Lucas Glover G Troy Merritt,,Lucas Glover,G,6.47%,44
34,5196014881,piezo (144/150),324,250,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Billy Horschel G Tyler Duncan,,Andrew Putnam,G,6.44%,18.5
34,5196312172,JRucker504 (95/150),324,250,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Brandt Snedeker G Chandler Phillips,,Zachary Bauchou,G,6.04%,18
34,5196369253,dbrereto (82/150),324,250,G Jackson Koivun G Benjamin James G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair,,Ricky Castillo,G,5.97%,13.5
37,5195416549,BigFatPianist (72/150),324,249.5,G Jackson Koivun G Pierceson Coody G Gary Woodland G Benjamin James G Emiliano Grillo G Ben Kohles,,Gary Woodland,G,5.95%,49.5
38,5196332217,hzdaniel (15/33),324,249,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Trace Crowe G Joe Highsmith,,Tom Hoge,G,5.88%,24
38,5196403199,DraftMasterFlex (69/150),324,249,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G A.J. Ewart G Davis Chatfield,,Aaron Wise,G,5.41%,13
38,5196779143,butters326 (99/150),324,249,G Jackson Koivun G Jackson Suber G Gary Woodland G Rasmus Neergaard-Petersen G Ben Kohles G Keita Nakajima,,Mackenzie Hughes,G,5.05%,15
41,5196216169,nagasai (98/150),324,248,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair G Jimmy Stanger,,Lee Hodges,G,4.86%,23.5
42,5196380979,chazemclean (58/150),324,247.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Rico Hoey G Denny McCarthy G Davis Chatfield,,Max Greyserman,G,4.72%,20.5
42,5196465278,bones_15 (122/150),324,247.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Andrew Putnam G Davis Chatfield,,Kevin Yu,G,4.60%,16.5
44,5195034758,dbsultan (24/34),324,247,G Jake Knapp G Jackson Koivun G Gary Woodland G Michael Brennan G Steven Fisk G Ben Kohles,,Stephan Jaeger,G,4.47%,14.5
44,5195432114,daddy608 (135/150),324,247,G Jackson Koivun G Gary Woodland G Benjamin James G Michael Brennan G Ben Kohles G Zac Blair,,Rico Hoey,G,4.15%,28
44,5196014877,piezo (140/150),324,247,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Rico Hoey G Lucas Glover G Tyler Duncan,,Joel Dahmen,G,4.07%,17.5
44,5196242496,mikecapp12 (42/69),324,247,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zachary Bauchou G Davis Chatfield,,Davis Thompson,G,4.07%,25
48,5194781885,DVaut1 (104/150),324,246.5,G Kurt Kitayama G Jake Knapp G Gary Woodland G Rasmus Neergaard-Petersen G Ben Kohles G Kevin Roy,,Matti Schmid,G,4.06%,26.5
48,5195418460,Jackflower (5/5),324,246.5,G Scottie Scheffler G Casey Jarvis G Emiliano Grillo G Ben Kohles G Lucas Glover G Troy Merritt,,Keita Nakajima,G,4.01%,26.5
48,5195621084,texas10504 (1/8),324,246.5,G Scottie Scheffler G Ben Kohles G Jesper Svensson G Lucas Glover G Zac Blair G Will Gordon,,Taylor Pendrith,G,4.01%,16
51,5196181131,djmado09 (97/150),324,246,G Keith Mitchell G Pierceson Coody G Michael Brennan G Emiliano Grillo G Ben Kohles G Kevin Roy,,Denny McCarthy,G,3.97%,34.5
52,5195149509,eln195 (111/150),324,245.5,G Kurt Kitayama G Jackson Koivun G Corey Conners G Michael Brennan G Ben Kohles G Jesper Svensson,,Beau Hossler,G,3.96%,16.5
52,5195226503,ticalwmu (9/25),324,245.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lee Hodges G Zecheng Dou G John VanDerLaan,,Aldrich Potgieter,G,3.88%,9.5
52,5195332361,TheCommish (149/150),324,245.5,G Maverick McNealy G Keith Mitchell G Gary Woodland G Emiliano Grillo G Ben Kohles G Jesper Svensson,,John Parry,G,3.61%,18
52,5195391531,B32044 (45/150),324,245.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Tom Hoge G Kevin Roy G David Lipsky,,A.J. Ewart,G,3.57%,20
52,5196014880,piezo (143/150),324,245.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zecheng Dou G Tyler Duncan,,Jesper Svensson,G,3.41%,43.5
52,5196463427,sp23 (131/150),324,245.5,G Scottie Scheffler G Brian Harman G Emiliano Grillo G Ben Kohles G John VanDerLaan G Jeffrey Kang,,Kevin Roy,G,3.38%,45
52,5196807459,mwheel7 (83/150),324,245.5,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Ben Kohles G Zachary Bauchou G Denny McCarthy,,Steven Fisk,G,3.06%,13
59,5195863455,cplo42 (73/150),324,245,G Tom Kim G Jackson Koivun G Doug Ghim G Michael Brennan G Ben Kohles G Lucas Glover,,Davis Chatfield,G,3.03%,24.5
59,5196396397,4LeftsMakeItRight,324,245,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Matti Schmid G Kevin Roy G Aaron Wise,,Austin Eckroat,G,3.02%,18
59,5196540646,SaltTruck2 (48/150),324,245,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Matti Schmid G Tyler Duncan,,Takumi Kanaya,G,2.91%,10
62,5194956818,tdenbeste (1/98),324,244.5,G Hideki Matsuyama G Jackson Koivun G Gary Woodland G Michael Brennan G Ben Kohles G Michael Kim,,Taylor Moore,G,2.80%,16
63,5195598101,AGMoney23 (59/150),324,244,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lee Hodges G Chandler Phillips G Harry Higgs,,David Lipsky,G,2.59%,16
63,5196241106,jrexnis (17/150),324,244,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Kevin Roy G David Lipsky,,Rasmus Højgaard,G,2.52%,18
63,5196318260,Doublejay01 (64/110),324,244,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Mackenzie Hughes G Lucas Glover G Davis Chatfield,,Brandt Snedeker,G,2.51%,9.5
66,5195566930,Lagunabeach49 (1/4),324,243.5,G Scottie Scheffler G Ben Kohles G Lucas Glover G Zac Blair G Tom Hoge G Kevin Roy,,Seamus Power,G,2.43%,28.5
66,5196338097,b_kundrick (21/30),324,243.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Patrick Rodgers G Troy Merritt,,Austin Smotherman,G,2.37%,22.5
68,5196014791,piezo (54/150),324,243,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Tom Hoge G Tyler Duncan,,Matt Kuchar,G,2.27%,6.5
68,5196187061,cashyobe (17/40),324,243,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Tom Hoge G Chandler Phillips,,Troy Merritt,G,2.16%,30
68,5196381047,chazemclean (126/150),324,243,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lee Hodges G Denny McCarthy G Davis Chatfield,,Brice Garnett,G,2.15%,10.5
68,5196558595,thankyoufordonations (87/150),324,243,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Tom Hoge G Chandler Phillips,,Preston Stout,G,1.93%,18
68,5196558656,thankyoufordonations (148/150),324,243,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Tom Hoge G Chandler Phillips,,Patrick Rodgers,G,1.90%,9
73,5195288616,mailnurs (14/90),324,242.5,G Scottie Scheffler G Ben Kohles G Lucas Glover G Denny McCarthy G Luke Clanton G Kevin Roy,,Kris Ventura,G,1.79%,13
73,5195391520,B32044 (34/150),324,242.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Kevin Roy G Cameron Champ,,Thorbjørn Olesen,G,1.57%,21.5
73,5196014876,piezo (139/150),324,242.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lee Hodges G Lucas Glover G Tyler Duncan,,Cameron Champ,G,1.53%,14.5
73,5196465208,bones_15 (52/150),324,242.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Max McGreevy G Lucas Glover G Davis Chatfield,,Tyler Duncan,G,1.50%,14.5
73,5196750996,Billsbuffwv (23/100),324,242.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lee Hodges G Lucas Glover G Tyler Duncan,,Billy Horschel,G,1.46%,31
78,5194673417,grkdrafter939 (122/150),324,242,G Jackson Koivun G Gary Woodland G Mac Meissner G Brian Harman G Ben Kohles G Lucas Glover,,Chris Kirk,G,1.45%,14.5
78,5195079348,dougr77 (1/56),324,242,G Kurt Kitayama G Jackson Koivun G Emiliano Grillo G Ben Kohles G Lee Hodges G Zac Blair,,Paul Peterson,G,1.41%,13
78,5195634328,msg365 (22/150),324,242,G Scottie Scheffler G Rasmus Neergaard-Petersen G Emiliano Grillo G Ben Kohles G Joel Dahmen G Troy Merritt,,Zecheng Dou,G,1.40%,26.5
78,5196204622,mjv2009 (3/20),324,242,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Max McGreevy G Davis Chatfield,,Hao-Tong Li,G,1.37%,21
78,5196365895,menofleisure (33/150),324,242,G Tom Kim G Michael Brennan G Casey Jarvis G Emiliano Grillo G Ben Kohles G Lucas Glover,,Erik Van Rooyen,G,1.23%,9
78,5196693837,jfand (39/150),324,242,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Rico Hoey G Zac Blair G Kevin Streelman,,Chandler Phillips,G,1.19%,36
84,5195175019,MJDLC (47/150),324,241.5,G Hideki Matsuyama G Jackson Koivun G Gary Woodland G Michael Brennan G Ben Kohles G Max McGreevy,,Cameron Davis,G,1.06%,13.5
84,5195249987,lbullard64 (10/148),324,241.5,G Kurt Kitayama G Jackson Koivun G Sudarshan Yellamaraju G Michael Brennan G Rasmus Neergaard-Petersen G Ben Kohles,,Adam Svensson,G,1.04%,22.5
84,5196014883,piezo (146/150),324,241.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair G Tyler Duncan,,David Skinns,G,1.02%,9
84,5196216168,nagasai (97/150),324,241.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair G Lanto Griffin,,Karl Vilips,G,0.99%,18
84,5196364232,gokullect (2/150),324,241.5,G Scottie Scheffler G Ben Kohles G Jesper Svensson G Lucas Glover G Takumi Kanaya G Chandler Phillips,,Stefano Mazzoli,G,0.90%,8.5
84,5196403918,UltimateWin4 (57/150),324,241.5,G Scottie Scheffler G Ben Kohles G Lucas Glover G Denny McCarthy G Kevin Roy G Takumi Kanaya,,Fabián Gómez,G,0.81%,15
90,5194957101,wsdp (103/150),324,241,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Kevin Roy G Aaron Wise,,Lanto Griffin,G,0.81%,14.5
90,5195004715,mknob87 (53/150),324,241,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Matti Schmid G Hayden Springer G Chandler Phillips,,Mark Hubbard,G,0.79%,14.5
